Date,Close,Volume,Open,High,Low
2017-09-15,75.96,27036135,74.902,76.0,74.54
2017-09-14,75.53,35851315,72.866,75.592,72.52600000000001
2017-09-13,73.25,20855925,72.764,73.61399999999999,71.918
2017-09-12,72.55,29831020,72.898,73.752,72.08
2017-09-11,72.74,38255000,70.27,72.742,70.0
2017-09-08,68.68,16306665,69.798,69.956,68.46
2017-09-07,70.12,21175225,69.196,70.49600000000001,68.69
2017-09-06,68.91,20410005,69.9,70.1958,68.312
2017-09-05,69.92,19182010,70.76,71.098,69.178
2017-09-01,71.08,15242750,71.22399999999999,71.518,70.738
2017-08-31,71.18,20316650,70.71,71.688,70.564
2017-08-30,70.64,17020825,69.934,70.694,69.4
2017-08-29,69.47,20346515,67.896,69.81,67.75
2017-08-28,69.13,18731200,69.456,69.47,67.944
2017-08-25,69.61,17375930,70.848,71.138,69.46
2017-08-24,70.59,22857870,70.50399999999999,71.332,69.94800000000001
2017-08-23,70.55,24709735,67.798,70.69800000000001,67.6608
2017-08-22,68.27,21571340,68.226,68.44800000000001,67.4745
2017-08-21,67.57,32449250,69.164,69.164,66.37
2017-08-18,69.49,26954025,70.582,70.8,69.16
